input_dir,input_file,resolution,profile,level,number_of_nalus,number_of_slice_nalus,number_of_slice_header_nalus,h264nal_status,slice_header_status
3davc,balloons.bit,1024x768,High;Unspecified,5.1,21,15,15,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x15); error: cannot ParseNalUnitHeader in nal unit (x90); error: cannot parse buffer into NalUnit (x90); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x75); error: bitstream uses 90 unimplemented syntax structure(s), 90 NAL unit(s) left unparsed",0
3davc,mvdct-10_r2.bit,1920x1088;960x544,High;Unspecified,5.1,14,8,8,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x8); error: cannot ParseNalUnitHeader in nal unit (x48); error: cannot parse buffer into NalUnit (x48); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x40); error: bitstream uses 48 unimplemented syntax structure(s), 48 NAL unit(s) left unparsed",0
3davc,mvdct-1_r2.bit,1920x1088;960x544,High;Unspecified,5.1,11,3,3,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x3); error: cannot ParseNalUnitHeader in nal unit (x18); error: cannot parse buffer into NalUnit (x18); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x15); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
3davc,mvdct-2_r2.bin,1920x1088;960x544,High;Unspecified,4.0,23,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x9); error: cannot ParseNalUnitHeader in nal unit (x54); error: cannot parse buffer into NalUnit (x54); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x45); error: bitstream uses 54 unimplemented syntax structure(s), 54 NAL unit(s) left unparsed",0
3davc,mvdct-3_r1.bit,1024x768;512x384,High;Unspecified,5.1,22,16,16,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x16); error: cannot ParseNalUnitHeader in nal unit (x96); error: cannot parse buffer into NalUnit (x96); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x80); error: bitstream uses 96 unimplemented syntax structure(s), 96 NAL unit(s) left unparsed",0
3davc,mvdct-4_r2.bit,1920x1088;960x544,High;Unspecified,5.1,256,250,250,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x250); error: cannot ParseNalUnitHeader in nal unit (x1500); error: cannot parse buffer into NalUnit (x1500); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x1250); error: bitstream uses 1500 unimplemented syntax structure(s), 1500 NAL unit(s) left unparsed",0
3davc,mvdct-6.bit,1024x768;512x384,High;Unspecified,5.1,25,19,19,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x19); error: cannot ParseNalUnitHeader in nal unit (x76); error: cannot parse buffer into NalUnit (x76); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x57); error: bitstream uses 76 unimplemented syntax structure(s), 76 NAL unit(s) left unparsed",0
3davc,mvdct-7.bit,1024x768;512x384,High;Unspecified,5.1,25,19,19,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x19); error: cannot ParseNalUnitHeader in nal unit (x76); error: cannot parse buffer into NalUnit (x76); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x57); error: bitstream uses 76 unimplemented syntax structure(s), 76 NAL unit(s) left unparsed",0
3davc,mvdct-8_r2.bit,1024x768;512x384,High;Unspecified,5.1,15,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x9); error: cannot ParseNalUnitHeader in nal unit (x54); error: cannot parse buffer into NalUnit (x54); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x45); error: bitstream uses 54 unimplemented syntax structure(s), 54 NAL unit(s) left unparsed",0
3davc,mvdct-9_r1.bit,1920x1088;960x544,High;Unspecified,5.1,22,16,16,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x16); error: cannot ParseNalUnitHeader in nal unit (x96); error: cannot parse buffer into NalUnit (x96); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x80); error: bitstream uses 96 unimplemented syntax structure(s), 96 NAL unit(s) left unparsed",0
3davc,mvddr3d-1-r1.bit,1024x768;512x384,High;Unspecified,5.1,22,16,16,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x16); error: cannot ParseNalUnitHeader in nal unit (x96); error: cannot parse buffer into NalUnit (x96); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x80); error: bitstream uses 96 unimplemented syntax structure(s), 96 NAL unit(s) left unparsed",0
3davc,mvddr3d-2-r1.bit,1920x1088;960x544,High;Unspecified,5.1,22,16,16,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x16); error: cannot ParseNalUnitHeader in nal unit (x96); error: cannot parse buffer into NalUnit (x96); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x80); error: bitstream uses 96 unimplemented syntax structure(s), 96 NAL unit(s) left unparsed",0
