input_dir,input_file,resolution,profile,level,number_of_nalus,number_of_slice_nalus,number_of_slice_header_nalus,h264nal_status,slice_header_status
mvc,mvcds1.264,640x480,Progressive High;Unspecified,3.0,294,290,290,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x580); error: cannot ParseNalUnitHeader in nal unit (x580); error: cannot parse buffer into NalUnit (x580); error: bitstream uses 580 unimplemented syntax structure(s), 580 NAL unit(s) left unparsed",0
mvc,mvcds2.264,640x480,Progressive High;Unspecified,3.0,294,290,290,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x580); error: cannot ParseNalUnitHeader in nal unit (x580); error: cannot parse buffer into NalUnit (x580); error: bitstream uses 580 unimplemented syntax structure(s), 580 NAL unit(s) left unparsed",0
mvc,mvcds3.264,640x480,Progressive High;Unspecified,3.0,294,290,290,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x580); error: cannot ParseNalUnitHeader in nal unit (x580); error: cannot parse buffer into NalUnit (x580); error: bitstream uses 580 unimplemented syntax structure(s), 580 NAL unit(s) left unparsed",0
mvc,mvcds-4.264,640x480,Progressive High;Unspecified,3.0,13,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x18); error: cannot ParseNalUnitHeader in nal unit (x18); error: cannot parse buffer into NalUnit (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
mvc,mvcds-4_old.264,640x480,Progressive High;Unspecified,3.0,14,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x18); error: cannot ParseNalUnitHeader in nal unit (x18); error: cannot parse buffer into NalUnit (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
mvc,mvcds-5.264,640x480,Progressive High;Unspecified,3.0,13,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x18); error: cannot ParseNalUnitHeader in nal unit (x18); error: cannot parse buffer into NalUnit (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
mvc,mvcds-5_old.264,640x480,Progressive High;Unspecified,3.0,14,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x18); error: cannot ParseNalUnitHeader in nal unit (x18); error: cannot parse buffer into NalUnit (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
mvc,mvcds-6.264,640x480,Progressive High;Unspecified,3.0,13,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x18); error: cannot ParseNalUnitHeader in nal unit (x18); error: cannot parse buffer into NalUnit (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
mvc,mvcds-6_old.264,640x480,Progressive High;Unspecified,3.0,13,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x18); error: cannot ParseNalUnitHeader in nal unit (x18); error: cannot parse buffer into NalUnit (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
mvc,mvcict-1.264,720x480,Progressive High;Unspecified,3.0,304,300,300,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x600); error: cannot ParseNalUnitHeader in nal unit (x600); error: cannot parse buffer into NalUnit (x600); error: bitstream uses 600 unimplemented syntax structure(s), 600 NAL unit(s) left unparsed",0
mvc,mvcict-2.264,720x480,Progressive High;Unspecified,3.0,154,150,150,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x300); error: cannot ParseNalUnitHeader in nal unit (x300); error: cannot parse buffer into NalUnit (x300); error: bitstream uses 300 unimplemented syntax structure(s), 300 NAL unit(s) left unparsed",0
mvc,mvcnv1.264,640x480,Progressive High;Unspecified,3.0;3.1,294,290,290,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x870); error: cannot ParseNalUnitHeader in nal unit (x870); error: cannot parse buffer into NalUnit (x870); error: bitstream uses 870 unimplemented syntax structure(s), 870 NAL unit(s) left unparsed",0
mvc,mvcnv-2.264,640x480,Progressive High;Unspecified,3.0;4.0,13,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x72); error: cannot ParseNalUnitHeader in nal unit (x72); error: cannot parse buffer into NalUnit (x72); error: bitstream uses 72 unimplemented syntax structure(s), 72 NAL unit(s) left unparsed",0
mvc,mvcnv-2_old.264,640x480,Progressive High;Unspecified,3.0;4.0,14,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x72); error: cannot ParseNalUnitHeader in nal unit (x72); error: cannot parse buffer into NalUnit (x72); error: bitstream uses 72 unimplemented syntax structure(s), 72 NAL unit(s) left unparsed",0
mvc,mvcnv-3.264,640x480,Progressive High;Unspecified,3.0;3.1,13,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x27); error: cannot ParseNalUnitHeader in nal unit (x27); error: cannot parse buffer into NalUnit (x27); error: bitstream uses 27 unimplemented syntax structure(s), 27 NAL unit(s) left unparsed",0
mvc,mvcnv-3_old.264,640x480,Progressive High;Unspecified,3.0;3.1,14,9,9,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x27); error: cannot ParseNalUnitHeader in nal unit (x27); error: cannot parse buffer into NalUnit (x27); error: bitstream uses 27 unimplemented syntax structure(s), 27 NAL unit(s) left unparsed",0
mvc,mvcnv4.264,640x480,Progressive High;Unspecified,3.0;3.1,294,290,290,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x1160); error: cannot ParseNalUnitHeader in nal unit (x1160); error: cannot parse buffer into NalUnit (x1160); error: bitstream uses 1160 unimplemented syntax structure(s), 1160 NAL unit(s) left unparsed",0
mvc,mvcrp_1.264,640x480,Progressive High;Unspecified,3.0,204,200,200,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x400); error: cannot ParseNalUnitHeader in nal unit (x400); error: cannot parse buffer into NalUnit (x400); error: bitstream uses 400 unimplemented syntax structure(s), 400 NAL unit(s) left unparsed",0
mvc,mvcrp_2.264,640x480,Progressive High;Unspecified,3.0,254,250,250,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x500); error: cannot ParseNalUnitHeader in nal unit (x500); error: cannot parse buffer into NalUnit (x500); error: bitstream uses 500 unimplemented syntax structure(s), 500 NAL unit(s) left unparsed",0
mvc,mvcrp_3.264,640x480,Progressive High;Unspecified,3.0,254,250,250,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x500); error: cannot ParseNalUnitHeader in nal unit (x500); error: cannot parse buffer into NalUnit (x500); error: bitstream uses 500 unimplemented syntax structure(s), 500 NAL unit(s) left unparsed",0
mvc,mvcrp_4.264,640x480,Progressive High;Unspecified,3.0,254,250,250,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x500); error: cannot ParseNalUnitHeader in nal unit (x500); error: cannot parse buffer into NalUnit (x500); error: bitstream uses 500 unimplemented syntax structure(s), 500 NAL unit(s) left unparsed",0
mvc,mvcrp_5.264,640x480,Progressive High;Unspecified,3.0,254,250,250,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x500); error: cannot ParseNalUnitHeader in nal unit (x500); error: cannot parse buffer into NalUnit (x500); error: bitstream uses 500 unimplemented syntax structure(s), 500 NAL unit(s) left unparsed",0
mvc,mvcrp_6.264,640x480,Progressive High;Unspecified,3.0,254,250,250,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x500); error: cannot ParseNalUnitHeader in nal unit (x500); error: cannot parse buffer into NalUnit (x500); error: bitstream uses 500 unimplemented syntax structure(s), 500 NAL unit(s) left unparsed",0
