input_dir,input_file,resolution,profile,level,number_of_nalus,number_of_slice_nalus,number_of_slice_header_nalus,h264nal_status,slice_header_status
mvcd,mvddr-1_r2.bit,1024x768;512x384,High;Unspecified,5.1,23,16,16,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x16); error: cannot ParseNalUnitHeader in nal unit (x96); error: cannot parse buffer into NalUnit (x96); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x80); error: bitstream uses 96 unimplemented syntax structure(s), 96 NAL unit(s) left unparsed",0
mvcd,mvddr-2_r2.bit,1920x1088;960x544,High;Unspecified,5.1,22,16,16,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x16); error: cannot ParseNalUnitHeader in nal unit (x96); error: cannot parse buffer into NalUnit (x96); error: unimplemented nal_unit_header_3davc_extension() in nal_unit_header() (x80); error: bitstream uses 96 unimplemented syntax structure(s), 96 NAL unit(s) left unparsed",0
mvcd,mvddr-3_r1.bin,1024x768,High;Unspecified,3.1,65,60,60,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x240); error: cannot ParseNalUnitHeader in nal unit (x240); error: cannot parse buffer into NalUnit (x240); error: bitstream uses 240 unimplemented syntax structure(s), 240 NAL unit(s) left unparsed",0
mvcd,mvddr-4_r1.bin,1920x1088,High;Unspecified,4.0,65,60,60,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x240); error: cannot ParseNalUnitHeader in nal unit (x240); error: cannot parse buffer into NalUnit (x240); error: bitstream uses 240 unimplemented syntax structure(s), 240 NAL unit(s) left unparsed",0
mvcd,mvdil-1_r1.bin,1024x768,High;Unspecified,3.1,125,120,120,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x480); error: cannot ParseNalUnitHeader in nal unit (x480); error: cannot parse buffer into NalUnit (x480); error: bitstream uses 480 unimplemented syntax structure(s), 480 NAL unit(s) left unparsed",0
mvcd,mvdil-2_r1.bit,1024x768;512x384,High;Unspecified,4.1,41,34,34,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x136); error: cannot ParseNalUnitHeader in nal unit (x136); error: cannot parse buffer into NalUnit (x136); error: bitstream uses 136 unimplemented syntax structure(s), 136 NAL unit(s) left unparsed",0
mvcd,mvdiv-1_r1.bit,1920x1088;960x544,High;Unspecified,5.1,13,8,8,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x48); error: cannot ParseNalUnitHeader in nal unit (x48); error: cannot parse buffer into NalUnit (x48); error: bitstream uses 48 unimplemented syntax structure(s), 48 NAL unit(s) left unparsed",0
mvcd,mvdiv-2_r1.bin,1024x768,High;Unspecified,5.1,65,60,60,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x360); error: cannot ParseNalUnitHeader in nal unit (x360); error: cannot parse buffer into NalUnit (x360); error: bitstream uses 360 unimplemented syntax structure(s), 360 NAL unit(s) left unparsed",0
mvcd,mvdiv-3_r1.bit,1920x1088;960x544,High;Unspecified,5.1,22,17,17,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x102); error: cannot ParseNalUnitHeader in nal unit (x102); error: cannot parse buffer into NalUnit (x102); error: bitstream uses 102 unimplemented syntax structure(s), 102 NAL unit(s) left unparsed",0
mvcd,mvdiv-4_r1.bit,1920x1088;960x544,High;Unspecified,5.1,22,17,17,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x102); error: cannot ParseNalUnitHeader in nal unit (x102); error: cannot parse buffer into NalUnit (x102); error: bitstream uses 102 unimplemented syntax structure(s), 102 NAL unit(s) left unparsed",0
