input_dir,input_file,resolution,profile,level,number_of_nalus,number_of_slice_nalus,number_of_slice_header_nalus,h264nal_status,slice_header_status
svc,svcbc-1.264,320x240,Constrained Baseline;Unspecified,2.1,906,600,600,0,0
svc,svcbc-1-l0.264,320x240,Constrained Baseline,2.1,603,300,300,0,0
svc,svcbc-1-l1.264,320x240,Constrained Baseline;Unspecified,2.1,906,600,600,0,0
svc,svcbct-1.264,320x240,Constrained Baseline;Unspecified,1.2;2.1,606,450,450,0,0
svc,svcbct-1-l0.264,320x240,Constrained Baseline,1.2,303,150,150,0,0
svc,svcbct-1-l1.264,320x240,Constrained Baseline;Unspecified,1.2;2.1,606,450,450,0,0
svc,svcbcts-1.264,320x240;640x480,Constrained Baseline;Unspecified,1.2;1.3;3.0,908,750,750,0,0
svc,svcbcts-1-l0.264,320x240,Constrained Baseline,1.2,303,150,150,0,0
svc,svcbcts-1-l1.264,320x240,Constrained Baseline;Unspecified,1.2;1.3,605,450,450,0,0
svc,svcbcts-1-l2.264,320x240;640x480,Constrained Baseline;Unspecified,1.2;1.3;3.0,908,750,750,0,0
svc,svcbcts-2.264,320x240;640x480,Constrained Baseline;Unspecified,1.2;1.3;3.0,909,750,750,0,0
svc,svcbcts-2-l0.264,320x240,Constrained Baseline,1.2,303,150,150,0,0
svc,svcbcts-2-l1.264,320x240,Constrained Baseline;Unspecified,1.2;1.3,606,450,450,0,0
svc,svcbcts-2-l2.264,320x240;640x480,Constrained Baseline;Unspecified,1.2;1.3;3.0,909,750,750,0,0
svc,svcbcts-3.264,176x144;352x288,Constrained Baseline;Unspecified,1b;0.9;1.3,608,450,450,0,0
svc,svcbcts-3-l0.264,176x144,Constrained Baseline,1b,303,150,150,0,0
svc,svcbcts-3-l1.264,176x144,Constrained Baseline;Unspecified,1b;0.9,455,300,300,0,0
svc,svcbcts-3-l2.264,176x144;352x288,Constrained Baseline;Unspecified,1b;0.9;1.3,607,450,450,0,0
svc,svcbm-1.264,352x288,Constrained Baseline;Unspecified,1.3,604,400,400,0,0
svc,svcbm-1-l0.264,352x288,Constrained Baseline,1.3,402,200,200,0,0
svc,svcbm-1-l1.264,352x288,Constrained Baseline;Unspecified,1.3,604,400,400,0,0
svc,svcbm-2.264,352x288,Constrained Baseline;Unspecified,1.3,605,400,400,0,0
svc,svcbm-2-l0.264,352x288,Constrained Baseline;Unspecified,1.3,405,200,200,0,0
svc,svcbm-2-l1.264,352x288,Constrained Baseline;Unspecified,1.3,605,400,400,0,0
svc,svcbm-3.264,352x288,Constrained Baseline;Unspecified,1.3,605,400,400,0,0
svc,svcbm-3-l0.264,352x288,Constrained Baseline;Unspecified,1.3,405,200,200,0,0
svc,svcbm-3-l1.264,352x288,Constrained Baseline;Unspecified,1.3,605,400,400,0,0
svc,svcbm-4.264,352x288,Constrained Baseline;Unspecified,1.3;2.1,807,600,600,0,0
svc,svcbm-4-l0.264,352x288,Constrained Baseline;Unspecified,1.3;2.1,407,200,200,0,0
svc,svcbm-4-l1.264,352x288,Constrained Baseline;Unspecified,1.3;2.1,607,400,400,0,0
svc,svcbm-4-l2.264,352x288,Constrained Baseline;Unspecified,1.3;2.1,807,600,600,0,0
svc,svcbm-5.264,352x288,Constrained Baseline;Unspecified,2.2;3.0,1506,1200,1200,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
svc,svcbm-5-l0.264,352x288,Constrained Baseline;Unspecified,2.2;3.0,606,300,300,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
svc,svcbm-5-l1.264,352x288,Constrained Baseline;Unspecified,2.2;3.0,906,600,600,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
svc,svcbm-5-l2.264,352x288,Constrained Baseline;Unspecified,2.2;3.0,1206,900,900,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
svc,svcbm-5-l3.264,352x288,Constrained Baseline;Unspecified,2.2;3.0,1506,1200,1200,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
svc,svcbmst-1.264,360x240,Constrained Baseline;Unspecified,1.3,438,316,316,0,0
svc,svcbmst-1-l0.264,360x240,Constrained Baseline,1.3,234,116,116,0,0
svc,svcbmst-1-l1.264,360x240,Constrained Baseline;Unspecified,1.3,438,316,316,0,0
svc,svcbmst-1-l2.264,360x240;720x480,Constrained Baseline;Unspecified,1.3;4.0,795,673,673,0,0
svc,svcbmst-2.264,360x240,Constrained Baseline;Unspecified,1.3,426,302,302,0,0
svc,svcbmst-2-l0.264,360x240,Constrained Baseline,1.3,238,118,118,0,0
svc,svcbmst-2-l1.264,360x240,Constrained Baseline;Unspecified,1.3,426,302,302,0,0
svc,svcbmst-2-l2.264,360x240;720x480,Constrained Baseline;Unspecified,1.3;4.0,741,617,617,0,0
svc,svcbmst-3.264,320x240;640x480,Constrained Baseline;Unspecified,2.1;3.1,158,120,120,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x3); error: bitstream uses 3 unimplemented syntax structure(s), 3 NAL unit(s) left unparsed",0
svc,svcbmst-3-l0.264,320x240,Constrained Baseline;Unspecified,2.1,65,30,30,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x3); error: bitstream uses 3 unimplemented syntax structure(s), 3 NAL unit(s) left unparsed",0
svc,svcbmst-3-l1.264,320x240,Constrained Baseline;Unspecified,2.1,95,60,60,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x3); error: bitstream uses 3 unimplemented syntax structure(s), 3 NAL unit(s) left unparsed",0
svc,svcbmst-3-l2.264,320x240;640x480,Constrained Baseline;Unspecified,2.1;3.1,158,120,120,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x3); error: bitstream uses 3 unimplemented syntax structure(s), 3 NAL unit(s) left unparsed",0
